IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.95.13,2082,2082,false,SIN,Asia Pacific,Singapore,176,0.70
47.237.86.185,2096,2096,true,SIN,Asia Pacific,Singapore,159,0.64
47.236.170.54,2082,2082,false,SIN,Asia Pacific,Singapore,203,0.62
47.236.170.54,2052,2052,false,SIN,Asia Pacific,Singapore,164,0.61
47.237.100.206,2082,2082,false,SIN,Asia Pacific,Singapore,170,0.58
47.236.117.48,8880,8880,false,SIN,Asia Pacific,Singapore,256,0.56
47.237.95.156,8080,8080,false,SIN,Asia Pacific,Singapore,156,0.52
47.237.125.8,2082,2082,false,SIN,Asia Pacific,Singapore,129,0.51
47.236.9.152,2082,2082,false,SIN,Asia Pacific,Singapore,174,0.50
47.236.10.100,2086,2086,false,SIN,Asia Pacific,Singapore,246,0.49
47.237.125.8,2083,2083,true,SIN,Asia Pacific,Singapore,117,0.48
47.236.202.91,2095,2095,false,SIN,Asia Pacific,Singapore,275,0.48
47.236.83.239,2082,2082,false,SIN,Asia Pacific,Singapore,176,0.46
47.236.189.92,2095,2095,false,SIN,Asia Pacific,Singapore,245,0.45
47.237.92.26,2052,2052,false,SIN,Asia Pacific,Singapore,118,0.39
47.236.168.17,2095,2095,false,SIN,Asia Pacific,Singapore,161,0.39
47.236.144.196,2082,2082,false,SIN,Asia Pacific,Singapore,207,0.37
47.236.172.71,2052,2052,false,SIN,Asia Pacific,Singapore,166,0.36
47.236.130.95,2086,2086,false,SIN,Asia Pacific,Singapore,251,0.36
47.236.253.41,2096,2096,true,SIN,Asia Pacific,Singapore,156,0.36
47.236.80.110,2082,2082,false,SIN,Asia Pacific,Singapore,219,0.35
13.213.46.159,2053,443,true,SIN,Asia Pacific,Singapore,134,0.34
47.236.254.120,2052,2052,false,SIN,Asia Pacific,Singapore,225,0.32
47.236.144.208,2086,2086,false,SIN,Asia Pacific,Singapore,224,0.31
47.236.121.23,2095,2095,false,SIN,Asia Pacific,Singapore,162,0.30
47.236.253.41,2086,2086,false,SIN,Asia Pacific,Singapore,165,0.30
